id, formula, natoms, volume, mass, density, energy_per_tsite, n_tsites, relative_energy, iza_code
1, O16Si8, 24, 435.4876803946872, 480.664, 18.370209675620476, -31.67612075805664, 8, 11.593595506537739, ABW
2, O32Si16, 48, 961.4192215984561, 961.328, 16.642063774633495, -31.64484214782715, 16, 14.611522626632222, ACO
3, O96Si48, 144, 3154.578679286066, 2883.9840000000004, 15.215978068698291, -31.66351826985677, 48, 12.80955077565005, AEI
4, O80Si40, 120, 2102.9205902508575, 2403.3199999999997, 19.021165223946188, -31.702786254882813, 40, 9.020766168787262, AEL
5, O96Si48, 144, 2417.285888010786, 2883.9840000000004, 19.856981020767794, -31.66583251953125, 48, 12.5862596254346, AEN
6, O144Si72, 216, 4075.2998490142404, 4325.976, 17.667411642707915, -31.673655192057293, 72, 11.831486462728579, AET
7, O96Si48, 144, 2786.810237000544, 2883.9840000000004, 17.223992994823575, -31.674855550130207, 48, 11.715669514485247, AFG
8, O48Si24, 72, 1400.2466349704869, 1441.9920000000002, 17.13983765474705, -31.689860026041668, 24, 10.267957661440528, AFI
9, O64Si32, 96, 1764.8227062734945, 1922.6560000000002, 18.132132982110985, -31.65316390991211, 32, 13.808594641695809, AFN
10, O80Si40, 120, 2080.329852402346, 2403.3199999999997, 19.227720043438477, -31.706820678710937, 40, 8.631503442741673, AFO
11, O64Si32, 96, 2097.384305907726, 1922.6560000000002, 15.25709900177342, -31.655094146728516, 32, 13.622355099922798, AFR
12, O112Si56, 168, 3820.116385199687, 3364.648, 14.659239235998497, -31.649623325892858, 56, 14.150209069391767, AFS
13, O144Si72, 216, 4732.720272455137, 4325.976, 15.21323802275967, -31.66368950737847, 72, 12.793028866366681, AFT
14, O60Si30, 90, 1897.0743373310659, 1802.4900000000002, 15.813824165797348, -31.6587646484375, 30, 13.26820552068559, AFV
15, O96Si48, 144, 3154.885211847657, 2883.9840000000004, 15.214499665389988, -31.663869222005207, 48, 12.77568904078223, AFX
