##NAMES=Gaspeite
##RRUFFID=R040157
##IDEAL CHEMISTRY=Ni^2+^CO_3_
##LOCALITY=Lemieux Township, Gaspe Nord County, Gaspe Peninsula, Quebec, Canada
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Green massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R040157
##MEASURED CHEMISTRY=(Ni_0.54_Mg_0.31_Fe_0.15_Ca_0.01_Co_0.01_)C_1.00_O_3_; = the gray bands. Light grey bands are also gaspeite: (Ni_0.57_Mg_0.41_Fe_0.08_)C_0.97_O_3_; Dark grey bands, magnesite: (Mg_0.98_Fe_0.04_Ni_0.03_)C_0.97_O_3_
399.1926, 0.173832
401.1211, 0.155467
403.0496, 0.156214
404.9780, 0.151535
406.9065, 0.147404
408.8350, 0.142873
410.7634, 0.136245
412.6919, 0.127628
414.6204, 0.118906
416.5488, 0.112009
418.4773, 0.107294
420.4058, 0.102944
422.3342, 0.099530
424.2627, 0.094080
426.1912, 0.086998
428.1196, 0.080938
430.0481, 0.077130
431.9766, 0.073692
433.9050, 0.070502
435.8335, 0.067785
437.7620, 0.064265
439.6904, 0.060505
441.6189, 0.057807
443.5474, 0.054861
445.4758, 0.052674
447.4043, 0.051451
449.3328, 0.049831
451.2612, 0.048493
453.1897, 0.047032
455.1182, 0.045731
457.0466, 0.044203
458.9751, 0.042542
460.9036, 0.041360
462.8320, 0.040406
464.7605, 0.040454
466.6890, 0.040044
468.6174, 0.038683
470.5459, 0.037252
472.4744, 0.036589
474.4028, 0.035938
476.3313, 0.034522
478.2598, 0.033007
480.1882, 0.031756
482.1167, 0.030155
484.0452, 0.028919
485.9736, 0.028046
487.9021, 0.027078
489.8306, 0.025828
491.7590, 0.024984
493.6875, 0.024018
495.6160, 0.023166
497.5444, 0.022655
499.4729, 0.021967
501.4014, 0.020988
503.3298, 0.020337
505.2583, 0.019978
507.1868, 0.019693
509.1152, 0.019378
511.0437, 0.018780
512.9722, 0.018471
514.9006, 0.018031
516.8291, 0.017452
518.7576, 0.017201
520.6860, 0.017268
522.6145, 0.017140
524.5430, 0.016431
526.4714, 0.016046
528.3999, 0.016374
530.3284, 0.016374
532.2568, 0.015882
534.1853, 0.015368
536.1138, 0.015045
538.0422, 0.015355
539.9707, 0.015301
541.8992, 0.014938
543.8276, 0.014869
545.7561, 0.014713
547.6846, 0.014700
549.6130, 0.014949
551.5415, 0.015205
553.4700, 0.015282
555.3984, 0.015229
557.3269, 0.015046
559.2554, 0.015071
561.1838, 0.015479
563.1123, 0.015852
565.0408, 0.015660
566.9692, 0.015571
568.8977, 0.015790
570.8262, 0.015901
572.7546, 0.015921
574.6831, 0.015710
576.6116, 0.015833
578.5400, 0.016179
580.4685, 0.016421
582.3970, 0.016677
584.3254, 0.016883
586.2539, 0.016812
588.1824, 0.016526
590.1108, 0.016706
592.0393, 0.017453
593.9678, 0.017707
595.8962, 0.017810
597.8247, 0.017646
599.7532, 0.017581
601.6816, 0.018071
603.6101, 0.018392
605.5386, 0.018437
607.4670, 0.018461
609.3955, 0.018830
611.3240, 0.019171
613.2524, 0.019084
615.1809, 0.019084
617.1094, 0.019386
619.0378, 0.019612
620.9663, 0.020153
622.8948, 0.020533
624.8232, 0.020419
626.7517, 0.020500
628.6802, 0.020758
630.6086, 0.020948
632.5371, 0.021227
634.4656, 0.021562
636.3940, 0.022072
638.3225, 0.022391
640.2510, 0.022679
642.1794, 0.023167
644.1079, 0.023517
646.0364, 0.023956
647.9648, 0.024474
649.8933, 0.024801
651.8218, 0.025338
653.7502, 0.025827
655.6787, 0.026214
657.6072, 0.026884
659.5356, 0.027207
661.4641, 0.027574
663.3926, 0.028359
665.3210, 0.029201
667.2495, 0.029797
669.1780, 0.030543
671.1064, 0.030860
673.0349, 0.031063
674.9634, 0.031192
676.8918, 0.030953
678.8203, 0.030665
680.7488, 0.030687
682.6772, 0.030499
684.6057, 0.030100
686.5342, 0.029947
688.4626, 0.029568
690.3911, 0.029358
692.3196, 0.029724
694.2480, 0.030262
696.1765, 0.030668
698.1050, 0.030856
700.0334, 0.030933
701.9619, 0.031095
703.8904, 0.031732
705.8188, 0.032329
707.7473, 0.032995
709.6758, 0.033723
711.6042, 0.034297
713.5327, 0.034836
715.4612, 0.035168
717.3896, 0.035768
719.3181, 0.036747
721.2466, 0.037889
723.1750, 0.039119
725.1035, 0.040430
727.0320, 0.042076
728.9604, 0.044215
730.8889, 0.046799
732.8174, 0.050035
734.7458, 0.053847
736.6743, 0.058602
738.6028, 0.065075
740.5313, 0.073956
742.4597, 0.086229
744.3882, 0.102134
746.3167, 0.119921
748.2451, 0.133212
750.1736, 0.136420
752.1021, 0.129532
754.0305, 0.113487
755.9590, 0.090244
757.8875, 0.066354
759.8159, 0.047845
761.7444, 0.036189
763.6729, 0.029725
765.6013, 0.026143
767.5298, 0.024117
769.4583, 0.022846
771.3867, 0.022273
773.3152, 0.022148
775.2437, 0.022035
777.1721, 0.022043
779.1006, 0.022332
781.0291, 0.022972
782.9575, 0.023497
784.8860, 0.023847
786.8145, 0.024320
788.7429, 0.024947
790.6714, 0.025455
792.5999, 0.025956
794.5283, 0.026395
796.4568, 0.026898
798.3853, 0.027616
800.3137, 0.028314
802.2422, 0.029091
804.1707, 0.029784
806.0991, 0.030438
808.0276, 0.031086
809.9561, 0.031902
811.8845, 0.033034
813.8130, 0.034153
815.7415, 0.035226
817.6699, 0.036124
819.5984, 0.037317
821.5269, 0.038748
823.4553, 0.040342
825.3838, 0.042195
827.3123, 0.044180
829.2407, 0.046377
831.1692, 0.048904
833.0977, 0.051720
835.0261, 0.055184
836.9546, 0.060021
838.8831, 0.066236
840.8115, 0.071844
842.7400, 0.076495
844.6685, 0.081009
846.5969, 0.086293
848.5254, 0.093205
850.4539, 0.102297
852.3823, 0.113328
854.3108, 0.126337
856.2393, 0.141049
858.1677, 0.159266
860.0962, 0.182716
862.0247, 0.206431
863.9531, 0.224907
865.8816, 0.238040
867.8101, 0.247336
869.7385, 0.251927
871.6670, 0.251096
873.5955, 0.244431
875.5239, 0.232411
877.4524, 0.216195
879.3809, 0.197528
881.3093, 0.178164
883.2378, 0.159110
885.1663, 0.140642
887.0947, 0.122736
889.0232, 0.104945
890.9517, 0.087321
892.8801, 0.071032
894.8085, 0.057529
896.7370, 0.047502
898.6655, 0.040853
900.5939, 0.036740
902.5224, 0.034627
904.4509, 0.033587
906.3793, 0.033236
908.3078, 0.033292
910.2363, 0.033429
912.1647, 0.033910
914.0932, 0.034525
916.0217, 0.035044
917.9501, 0.035531
919.8786, 0.035975
921.8071, 0.036669
923.7355, 0.037219
925.6640, 0.037898
927.5925, 0.038929
929.5209, 0.039954
931.4494, 0.040910
933.3779, 0.042023
935.3063, 0.043407
937.2348, 0.044845
939.1633, 0.046400
941.0917, 0.048091
943.0202, 0.049684
944.9487, 0.051056
946.8771, 0.052311
948.8056, 0.053370
950.7341, 0.054130
952.6625, 0.054994
954.5910, 0.055744
956.5195, 0.056467
958.4479, 0.057160
960.3764, 0.057958
962.3049, 0.058643
964.2333, 0.059074
966.1618, 0.059585
968.0903, 0.060197
970.0187, 0.060879
971.9472, 0.061554
973.8757, 0.062251
975.8041, 0.063086
977.7326, 0.063846
979.6611, 0.064518
981.5895, 0.065282
983.5180, 0.066093
985.4465, 0.066943
987.3749, 0.067975
989.3034, 0.069159
991.2319, 0.070481
993.1603, 0.071882
995.0888, 0.073193
997.0173, 0.074507
998.9457, 0.076084
1000.8740, 0.077713
1002.8030, 0.079425
1004.7310, 0.081390
1006.6600, 0.083615
1008.5880, 0.085583
1010.5170, 0.087298
1012.4450, 0.089249
1014.3730, 0.091174
1016.3020, 0.092863
1018.2300, 0.094336
1020.1590, 0.095607
1022.0870, 0.096705
1024.0160, 0.097365
1025.9440, 0.097884
1027.8730, 0.097992
1029.8010, 0.097535
1031.7300, 0.096687
1033.6580, 0.095522
1035.5870, 0.093931
1037.5150, 0.091957
1039.4440, 0.089920
1041.3720, 0.087686
1043.3010, 0.085422
1045.2290, 0.083522
1047.1570, 0.081806
1049.0860, 0.080001
1051.0140, 0.078400
1052.9430, 0.077051
1054.8710, 0.075895
1056.8000, 0.074962
1058.7280, 0.074121
1060.6570, 0.073453
1062.5850, 0.072937
1064.5140, 0.072535
1066.4420, 0.072297
1068.3710, 0.072413
1070.2990, 0.072361
1072.2280, 0.072493
1074.1560, 0.072836
1076.0840, 0.073436
1078.0130, 0.073841
1079.9410, 0.074268
1081.8700, 0.074647
1083.7980, 0.075004
1085.7270, 0.075250
1087.6550, 0.075224
1089.5840, 0.075013
1091.5120, 0.074797
1093.4410, 0.074306
1095.3690, 0.073555
1097.2980, 0.072904
1099.2260, 0.072440
1101.1550, 0.072091
1103.0830, 0.071824
1105.0110, 0.071576
1106.9400, 0.071705
1108.8680, 0.071907
1110.7970, 0.072008
1112.7250, 0.072211
1114.6540, 0.072454
1116.5820, 0.072869
1118.5110, 0.073258
1120.4390, 0.073484
1122.3680, 0.074120
1124.2960, 0.074908
1126.2250, 0.075499
1128.1530, 0.075887
1130.0820, 0.076282
1132.0100, 0.076771
1133.9380, 0.077409
1135.8670, 0.077847
1137.7950, 0.078354
1139.7240, 0.078979
1141.6520, 0.079600
1143.5810, 0.080127
