##NAMES=Clinofergusonite-(Ce)
##RRUFFID=R080102
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_
##LOCALITY=Amherst County, Virginia, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Tan to light brown colored fragment from metamict sample R070300, after heating at T = 1000 C for 20 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080102
3.991926e+002, 2.329594e-001
4.011211e+002, 2.314752e-001
4.030495e+002, 2.305790e-001
4.049780e+002, 2.260639e-001
4.069065e+002, 2.250697e-001
4.088349e+002, 2.254104e-001
4.107634e+002, 2.261179e-001
4.126919e+002, 2.275243e-001
4.146203e+002, 2.320490e-001
4.165488e+002, 2.347446e-001
4.184773e+002, 2.372400e-001
4.204057e+002, 2.381849e-001
4.223342e+002, 2.424114e-001
4.242627e+002, 2.471817e-001
4.261911e+002, 2.527368e-001
4.281196e+002, 2.565365e-001
4.300481e+002, 2.608875e-001
4.319765e+002, 2.675248e-001
4.339050e+002, 2.709983e-001
4.358335e+002, 2.706122e-001
4.377619e+002, 2.721749e-001
4.396904e+002, 2.728018e-001
4.416189e+002, 2.759235e-001
4.435473e+002, 2.794781e-001
4.454758e+002, 2.795035e-001
4.474043e+002, 2.777233e-001
4.493327e+002, 2.759967e-001
4.512612e+002, 2.735853e-001
4.531897e+002, 2.699473e-001
4.551181e+002, 2.663382e-001
4.570466e+002, 2.635049e-001
4.589751e+002, 2.603734e-001
4.609035e+002, 2.586065e-001
4.628320e+002, 2.561266e-001
4.647605e+002, 2.528597e-001
4.666889e+002, 2.499342e-001
4.686174e+002, 2.463164e-001
4.705459e+002, 2.422544e-001
4.724743e+002, 2.379980e-001
4.744028e+002, 2.343067e-001
4.763313e+002, 2.307343e-001
4.782597e+002, 2.254389e-001
4.801882e+002, 2.202132e-001
4.821167e+002, 2.160252e-001
4.840451e+002, 2.127144e-001
4.859736e+002, 2.096762e-001
4.879021e+002, 2.094156e-001
4.898305e+002, 2.103738e-001
4.917590e+002, 2.122964e-001
4.936875e+002, 2.158684e-001
4.956159e+002, 2.214466e-001
4.975444e+002, 2.274673e-001
4.994729e+002, 2.345707e-001
5.014013e+002, 2.419950e-001
5.033298e+002, 2.493017e-001
5.052583e+002, 2.577746e-001
5.071867e+002, 2.657312e-001
5.091152e+002, 2.731565e-001
5.110437e+002, 2.822287e-001
5.129721e+002, 2.912704e-001
5.149006e+002, 2.990716e-001
5.168290e+002, 3.060728e-001
5.187575e+002, 3.120085e-001
5.206860e+002, 3.178205e-001
5.226144e+002, 3.238596e-001
5.245429e+002, 3.281296e-001
5.264714e+002, 3.312303e-001
5.283998e+002, 3.329226e-001
5.303283e+002, 3.330878e-001
5.322568e+002, 3.326335e-001
5.341852e+002, 3.322321e-001
5.361137e+002, 3.298807e-001
5.380422e+002, 3.267691e-001
5.399706e+002, 3.244400e-001
5.418991e+002, 3.225994e-001
5.438276e+002, 3.225355e-001
5.457560e+002, 3.257419e-001
5.476845e+002, 3.304975e-001
5.496130e+002, 3.356202e-001
5.515414e+002, 3.404405e-001
5.534699e+002, 3.436472e-001
5.553984e+002, 3.467751e-001
5.573268e+002, 3.504800e-001
5.592553e+002, 3.530927e-001
5.611838e+002, 3.549694e-001
5.631122e+002, 3.562749e-001
5.650407e+002, 3.576556e-001
5.669692e+002, 3.597446e-001
5.688976e+002, 3.609208e-001
5.708261e+002, 3.602317e-001
5.727546e+002, 3.598596e-001
5.746830e+002, 3.607424e-001
