##NAMES=Aphthitalite
##RRUFFID=R050651
##IDEAL CHEMISTRY=K_3_Na(S^6+^O_4_)_2_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless hexagonal crystals displaying P-3m1 space group symmetry, associated with halite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050651
3.991926e+002, -1.623908e-002
4.011211e+002, 1.207922e-003
4.030495e+002, 2.070727e-003
4.049780e+002, -1.590185e-002
4.069065e+002, -2.422605e-003
4.088349e+002, 1.236353e-002
4.107634e+002, 4.052124e-003
4.126919e+002, 6.673084e-004
4.146203e+002, 5.116606e-003
4.165488e+002, 9.030481e-004
4.184773e+002, -1.203803e-003
4.204057e+002, 5.181467e-003
4.223342e+002, 2.612277e-003
4.242627e+002, -4.219107e-003
4.261911e+002, -8.654112e-004
4.281196e+002, 1.174474e-003
4.300481e+002, 5.091915e-004
4.319765e+002, 1.785473e-003
4.339050e+002, 2.492378e-003
4.358335e+002, 6.889969e-003
4.377619e+002, 6.742228e-003
4.396904e+002, 4.270417e-003
4.416189e+002, 2.936807e-003
4.435473e+002, 1.933266e-003
4.454758e+002, 4.281660e-003
4.474043e+002, 7.228214e-003
4.493327e+002, 3.964532e-003
4.512612e+002, 2.278588e-003
4.531897e+002, 7.168165e-003
4.551181e+002, 8.064724e-003
4.570466e+002, 6.113688e-003
4.589751e+002, 6.060611e-003
4.609035e+002, 3.231529e-003
4.628320e+002, 9.183289e-004
4.647605e+002, 3.325094e-003
4.666889e+002, 5.736569e-003
4.686174e+002, 2.692146e-003
4.705459e+002, 2.634101e-003
4.724743e+002, 3.822082e-003
4.744028e+002, 1.534930e-003
4.763313e+002, 2.211025e-003
4.782597e+002, 3.901789e-003
4.801882e+002, 2.001113e-003
4.821167e+002, 1.387095e-003
4.840451e+002, 3.683736e-003
4.859736e+002, 3.474292e-003
4.879021e+002, 2.427313e-003
4.898305e+002, 2.633839e-003
4.917590e+002, 2.770100e-003
4.936875e+002, 2.679189e-003
4.956159e+002, 2.935478e-003
4.975444e+002, 3.169335e-003
4.994729e+002, 2.621504e-003
5.014013e+002, 2.954520e-003
5.033298e+002, 3.586558e-003
5.052583e+002, 2.730422e-003
5.071867e+002, 2.120073e-003
5.091152e+002, 3.479982e-003
5.110437e+002, 4.307998e-003
5.129721e+002, 3.867662e-003
5.149006e+002, 3.902340e-003
5.168290e+002, 4.105689e-003
5.187575e+002, 3.913312e-003
5.206860e+002, 4.030718e-003
5.226144e+002, 4.771571e-003
5.245429e+002, 4.534367e-003
5.264714e+002, 3.521757e-003
5.283998e+002, 4.298001e-003
5.303283e+002, 4.782645e-003
5.322568e+002, 4.269724e-003
5.341852e+002, 4.220945e-003
5.361137e+002, 4.846100e-003
5.380422e+002, 5.066285e-003
5.399706e+002, 4.416275e-003
5.418991e+002, 4.519595e-003
5.438276e+002, 4.811184e-003
5.457560e+002, 5.271474e-003
5.476845e+002, 5.166074e-003
5.496130e+002, 4.822580e-003
