##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
399.1926, 0.1295583
401.1211, 0.1267341
403.0496, 0.1273434
404.9780, 0.1187249
406.9065, 0.1147017
408.8350, 0.1179381
410.7634, 0.1223298
412.6919, 0.1246775
414.6204, 0.1253695
416.5488, 0.1230655
418.4773, 0.1264371
420.4058, 0.1272923
422.3342, 0.1289951
424.2627, 0.1330753
426.1912, 0.1364352
428.1196, 0.1424530
430.0481, 0.1448867
431.9766, 0.1449948
433.9050, 0.1509596
435.8335, 0.1567078
437.7620, 0.1623797
439.6904, 0.1717043
441.6189, 0.1796272
443.5474, 0.1864856
445.4758, 0.1961626
447.4043, 0.2083357
449.3328, 0.2216099
451.2612, 0.2332181
453.1897, 0.2455496
455.1182, 0.2571836
457.0466, 0.2651098
458.9751, 0.2665367
460.9036, 0.2621353
462.8320, 0.2554655
464.7605, 0.2479784
466.6890, 0.2382996
468.6174, 0.2289535
470.5459, 0.2217608
472.4744, 0.2131753
474.4028, 0.2047480
476.3313, 0.1995730
478.2598, 0.1958860
480.1882, 0.1939513
482.1167, 0.1933104
484.0452, 0.1924471
485.9736, 0.1924053
487.9021, 0.1920866
489.8306, 0.1911539
491.7590, 0.1912352
493.6875, 0.1901152
495.6160, 0.1864113
497.5444, 0.1809078
499.4729, 0.1755716
501.4014, 0.1701828
503.3298, 0.1652427
505.2583, 0.1630208
507.1868, 0.1610493
509.1152, 0.1593769
511.0437, 0.1576693
512.9722, 0.1554114
514.9006, 0.1526311
516.8291, 0.1495619
518.7576, 0.1472369
520.6860, 0.1456329
522.6145, 0.1430428
524.5430, 0.1390792
526.4714, 0.1357538
528.3999, 0.1343009
530.3284, 0.1340467
532.2568, 0.1353654
534.1853, 0.1375777
536.1138, 0.1421862
538.0422, 0.1512630
539.9707, 0.1648551
541.8992, 0.1828245
543.8276, 0.2018974
545.7561, 0.2129604
547.6846, 0.2100042
549.6130, 0.1979104
551.5415, 0.1804219
553.4700, 0.1612465
555.3984, 0.1427643
557.3269, 0.1269516
559.2554, 0.1142812
561.1838, 0.1055654
563.1123, 0.1014799
565.0408, 0.1016889
566.9692, 0.1068813
568.8977, 0.1178022
570.8262, 0.1325963
572.7546, 0.1463566
574.6831, 0.1525702
576.6116, 0.1490051
578.5400, 0.1389406
580.4685, 0.1257156
582.3970, 0.1103844
584.3254, 9.5129989E-02
586.2539, 8.1409201E-02
588.1824, 6.9828533E-02
590.1108, 6.1228018E-02
592.0393, 5.5389289E-02
593.9678, 5.1267881E-02
595.8962, 4.8406411E-02
597.8247, 4.5554321E-02
599.7532, 4.3761201E-02
601.6816, 4.2871650E-02
603.6101, 4.2227250E-02
605.5386, 4.2411558E-02
607.4670, 4.3402571E-02
609.3955, 4.4821009E-02
611.3240, 4.6798531E-02
613.2524, 5.0546560E-02
615.1809, 5.6052871E-02
617.1094, 6.3161626E-02
619.0378, 7.3479831E-02
620.9663, 8.7295704E-02
622.8948, 0.1065606
624.8232, 0.1320232
626.7517, 0.1634774
628.6802, 0.1988902
630.6086, 0.2288839
632.5371, 0.2438941
634.4656, 0.2425499
636.3940, 0.2293774
638.3225, 0.2118541
640.2510, 0.1937539
642.1794, 0.1741214
644.1079, 0.1521476
646.0364, 0.1278255
647.9648, 0.1033473
649.8933, 8.1539743E-02
651.8218, 6.3195392E-02
653.7502, 4.9366750E-02
655.6787, 4.0495820E-02
657.6072, 3.4015872E-02
659.5356, 2.9857591E-02
661.4641, 2.7241079E-02
663.3926, 2.5039289E-02
665.3210, 2.3648240E-02
667.2495, 2.2761939E-02
669.1780, 2.1576580E-02
671.1064, 2.0455100E-02
673.0349, 2.0090461E-02
674.9634, 1.9867470E-02
676.8918, 1.9627521E-02
678.8203, 1.9479919E-02
680.7488, 1.9038880E-02
682.6772, 1.8504130E-02
684.6057, 1.8435029E-02
686.5342, 1.8527960E-02
688.4626, 1.8330449E-02
690.3911, 1.7885510E-02
692.3196, 1.7424621E-02
694.2480, 1.7318450E-02
696.1765, 1.7466741E-02
698.1050, 1.7313531E-02
700.0334, 1.7176859E-02
701.9619, 1.6977429E-02
703.8904, 1.7049180E-02
705.8188, 1.7230460E-02
707.7473, 1.7212201E-02
709.6758, 1.7273679E-02
711.6042, 1.7182520E-02
713.5327, 1.7406290E-02
715.4612, 1.7802840E-02
717.3896, 1.8092060E-02
719.3181, 1.7935490E-02
721.2466, 1.7744660E-02
723.1750, 1.7955329E-02
725.1035, 1.8050350E-02
727.0320, 1.7977539E-02
728.9604, 1.8377731E-02
730.8889, 1.8874150E-02
732.8174, 1.8977869E-02
734.7458, 1.9111959E-02
736.6743, 1.9538561E-02
738.6028, 1.9594589E-02
740.5313, 1.9756550E-02
742.4597, 2.0133169E-02
744.3882, 2.0411450E-02
746.3167, 2.0643780E-02
748.2451, 2.0946329E-02
750.1736, 2.1058630E-02
752.1021, 2.0988500E-02
754.0305, 2.1281840E-02
755.9590, 2.1723410E-02
757.8875, 2.2076851E-02
759.8159, 2.2196280E-02
761.7444, 2.2439931E-02
763.6729, 2.2886431E-02
765.6013, 2.3419069E-02
767.5298, 2.3777479E-02
769.4583, 2.4140051E-02
771.3867, 2.4391960E-02
773.3152, 2.4709409E-02
775.2437, 2.5263609E-02
777.1721, 2.6004110E-02
779.1006, 2.6612770E-02
781.0291, 2.7035629E-02
782.9575, 2.7520800E-02
784.8860, 2.8052369E-02
786.8145, 2.8350661E-02
788.7429, 2.8966790E-02
790.6714, 2.9759590E-02
792.5999, 3.0221229E-02
794.5283, 3.0780731E-02
796.4568, 3.1400818E-02
798.3853, 3.2089829E-02
800.3137, 3.2974251E-02
802.2422, 3.3858251E-02
804.1707, 3.4389328E-02
806.0991, 3.5260379E-02
808.0276, 3.6216091E-02
809.9561, 3.7357401E-02
811.8845, 3.8583700E-02
813.8130, 3.9575730E-02
815.7415, 4.0740810E-02
817.6699, 4.1966610E-02
819.5984, 4.3381140E-02
821.5269, 4.4889849E-02
823.4553, 4.6234481E-02
825.3838, 4.7577210E-02
827.3123, 4.9278010E-02
829.2407, 5.1031571E-02
831.1692, 5.2457299E-02
833.0977, 5.4115679E-02
835.0261, 5.6049891E-02
836.9546, 5.7730820E-02
838.8831, 5.9402902E-02
840.8115, 6.1116491E-02
842.7400, 6.3304633E-02
844.6685, 6.5531947E-02
846.5969, 6.7413896E-02
848.5254, 6.9550402E-02
850.4539, 7.1965963E-02
852.3823, 7.4422650E-02
854.3108, 7.7177547E-02
856.2393, 8.0059551E-02
858.1677, 8.2904167E-02
860.0962, 8.6026400E-02
862.0247, 8.9610711E-02
863.9531, 9.3014427E-02
865.8816, 9.6707188E-02
867.8101, 0.1003749
869.7385, 0.1043371
871.6670, 0.1089679
873.5955, 0.1141701
875.5239, 0.1195966
877.4524, 0.1254555
879.3809, 0.1312877
881.3093, 0.1368133
883.2378, 0.1429513
885.1663, 0.1497544
887.0947, 0.1565702
889.0232, 0.1635464
890.9517, 0.1710435
892.8801, 0.1797694
894.8085, 0.1892347
896.7370, 0.1985712
898.6655, 0.2086071
900.5939, 0.2194073
902.5224, 0.2304043
904.4509, 0.2416516
906.3793, 0.2534283
908.3078, 0.2659193
910.2363, 0.2782456
912.1647, 0.2903786
914.0932, 0.3029519
916.0217, 0.3159177
917.9501, 0.3298109
919.8786, 0.3437534
921.8071, 0.3579026
923.7355, 0.3729354
925.6640, 0.3883114
927.5925, 0.4033046
929.5209, 0.4182476
931.4494, 0.4325135
933.3779, 0.4453909
935.3063, 0.4559291
937.2348, 0.4626369
939.1633, 0.4656424
941.0917, 0.4649563
943.0202, 0.4613740
944.9487, 0.4572299
946.8771, 0.4555455
948.8056, 0.4576897
950.7341, 0.4620242
952.6625, 0.4660311
954.5910, 0.4675672
956.5195, 0.4670812
958.4479, 0.4655843
960.3764, 0.4629110
962.3049, 0.4591778
964.2333, 0.4544518
966.1618, 0.4496682
968.0903, 0.4446800
970.0187, 0.4397464
971.9472, 0.4353283
973.8757, 0.4308409
975.8041, 0.4265521
977.7326, 0.4232262
979.6611, 0.4201787
981.5895, 0.4170870
983.5180, 0.4138367
985.4465, 0.4101439
987.3749, 0.4058806
989.3034, 0.4009505
991.2319, 0.3949425
993.1603, 0.3877930
995.0888, 0.3804309
997.0173, 0.3726442
998.9457, 0.3644004
1000.874, 0.3568033
1002.803, 0.3499537
1004.731, 0.3436023
1006.660, 0.3382696
1008.588, 0.3344527
1010.517, 0.3318728
1012.445, 0.3309884
1014.373, 0.3317581
1016.302, 0.3336978
1018.230, 0.3372340
1020.159, 0.3420748
1022.087, 0.3484644
1024.016, 0.3565729
1025.944, 0.3663020
1027.873, 0.3759765
1029.801, 0.3842238
1031.730, 0.3896954
1033.658, 0.3923806
1035.587, 0.3935691
1037.515, 0.3932088
1039.444, 0.3914278
1041.372, 0.3883281
1043.301, 0.3844603
1045.229, 0.3797764
1047.157, 0.3743266
1049.086, 0.3678601
1051.014, 0.3614066
1052.943, 0.3539925
1054.871, 0.3456179
1056.800, 0.3370229
1058.728, 0.3278110
1060.657, 0.3178035
1062.585, 0.3074596
1064.514, 0.2970093
1066.442, 0.2864316
1068.371, 0.2756007
1070.299, 0.2652048
1072.228, 0.2548792
1074.156, 0.2443971
